"en","yor","pos","description"
"access common commands","[yor:access] [yor:common] [yor:commands]","noun",""
"access content","[yor:access] Àkóónú","noun",""
"access content data","[yor:access] Àkóónú Dátà","noun",""
"access control","[yor:access] [yor:control]","noun",""
"access data","[yor:access] Dátà","noun",""
"access details","[yor:access] [yor:details]","noun",""
"access font","[yor:access] Fọ́ntì","noun",""
"access google","[yor:access] [yor:google]","noun",""
"access google fonts","[yor:access] [yor:google] [yor:fonts]","noun",""
"access granted","[yor:access] [yor:granted]","noun",""
"access granted currentusername","[yor:access] [yor:granted] [yor:currentusername]","noun",""
"access web","[yor:access] [yor:web]","noun",""
"access web presence","[yor:access] [yor:web] [yor:presence]","noun",""
"access website","[yor:access] [yor:website]","noun",""
"access website administrators","[yor:access] [yor:website] [yor:administrators]","noun",""
"access wordpress","[yor:access] [yor:wordpress]","noun",""
"accessibility","[Yoruba for: accessibility]","noun",""
"accessibility coding","[yor:accessibility] [yor:coding]","noun",""
"accessibility coding standards","[yor:accessibility] [yor:coding] [yor:standards]","noun",""
"accessibility expertise","[yor:accessibility] [yor:expertise]","noun",""
"accessibility expertise across","[yor:accessibility] [yor:expertise] [yor:across]","noun",""
"accessibility guidelines","[yor:accessibility] [yor:guidelines]","noun",""
"accessibility guidelines wcag","[yor:accessibility] [yor:guidelines] [yor:wcag]","noun",""
"accessibility handbook","[yor:accessibility] [yor:handbook]","noun",""
"accessibility handbook page","[yor:accessibility] [yor:handbook] Ojúewé","noun",""
"accessibility improvements","[yor:accessibility] [yor:improvements]","noun",""
"accessibility issue","[yor:accessibility] [yor:issue]","noun",""
"accessibility issue encountered","[yor:accessibility] [yor:issue] [yor:encountered]","noun",""
"accessibility list","[yor:accessibility] Àtòjọ","noun",""
"accessibility mistakes","[yor:accessibility] [yor:mistakes]","noun",""
"accessibility mistakes without","[yor:accessibility] [yor:mistakes] [yor:without]","noun",""
"accessibility performance","[yor:accessibility] [yor:performance]","noun",""
"accessibility performance security","[yor:accessibility] [yor:performance] [yor:security]","noun",""
"accessibility team","[yor:accessibility] [yor:team]","noun",""
"accessibility wordpress","[yor:accessibility] [yor:wordpress]","noun",""
"accessibility wordpress core","[yor:accessibility] [yor:wordpress] [yor:core]","noun",""
"accessible","[Yoruba for: accessible]","noun",""
"accessible content","[yor:accessible] Àkóónú","noun",""
"accessible content assist","[yor:accessible] Àkóónú [yor:assist]","noun",""
"accessible encourages","[yor:accessible] [yor:encourages]","noun",""
"accessible encourages creation","[yor:accessible] [yor:encourages] [yor:creation]","noun",""
"accessing","[Yoruba for: accessing]","noun",""
"accordance","[Yoruba for: accordance]","noun",""
"accordance privacy","[yor:accordance] [yor:privacy]","noun",""
"accordance privacy statement","[yor:accordance] [yor:privacy] [yor:statement]","noun",""
"account","[Yoruba for: account]","noun",""
"account activated","[yor:account] [yor:activated]","noun",""
"account contribute","[yor:account] [yor:contribute]","noun",""
"account deletion","[yor:account] [yor:deletion]","noun",""
"account first","[yor:account] [yor:first]","noun",""
"account please","[yor:account] Jọ̀wọ́","noun",""
"account please log","[yor:account] Jọ̀wọ́ [yor:log]","noun",""
"account recommended","[yor:account] [yor:recommended]","noun",""
"account recommended log","[yor:account] [yor:recommended] [yor:log]","noun",""
"account relevant","[yor:account] [yor:relevant]","noun",""
"account relevant personal","[yor:account] [yor:relevant] [yor:personal]","noun",""
"account request","[yor:account] [yor:request]","noun",""
"account supported","[yor:account] [yor:supported]","noun",""
"account supported following","[yor:account] [yor:supported] [yor:following]","noun",""
"account username","[yor:account] [yor:username]","noun",""
"account username instead","[yor:account] [yor:username] [yor:instead]","noun",""
"accounts","[Yoruba for: accounts]","noun",""
"accounts submitted","[yor:accounts] [yor:submitted]","noun",""
"accounts submitted information","[yor:accounts] [yor:submitted] Ìsọfúnni","noun",""
"acid","[Yoruba for: acid]","noun",""
"acid green","[yor:acid] [yor:green]","noun",""
"across","[Yoruba for: across]","noun",""
"across ecosystem","[yor:across] [yor:ecosystem]","noun",""
"across multiple","[yor:across] [yor:multiple]","noun",""
"across project","[yor:across] [yor:project]","noun",""
"across project improve","[yor:across] [yor:project] [yor:improve]","noun",""
"across site","Ìkànnì","noun",""
"across sites","[yor:across] [yor:sites]","noun",""
"across web","[yor:across] [yor:web]","noun",""
"across wordpress","[yor:across] WordPress","noun",""
"action","[Yoruba for: action]","noun",""
"action confirmed","[yor:action] [yor:confirmed]","noun",""
"action undone","[yor:action] [yor:undone]","noun",""
"actions","[Yoruba for: actions]","noun",""
"activate","[Yoruba for: activate]","noun",""
"activate plugins","[yor:activate] Àwọn Plugin","noun",""
"activate receive","[yor:activate] [yor:receive]","noun",""
"activate receive another","[yor:activate] [yor:receive] [yor:another]","noun",""
"activate save","[yor:activate] [yor:save]","noun",""
"activate site","Ìkànnì","noun",""
"activated","[Yoruba for: activated]","noun",""
"activating","[Yoruba for: activating]","noun",""
"activation","[Yoruba for: activation]","noun",""
"active","[Yoruba for: active]","noun",""
"active feature","[yor:active] [yor:feature]","noun",""
"active feature work","[yor:active] [yor:feature] [yor:work]","noun",""
"active theme","Àkòrí","noun",""
"actively","[Yoruba for: actively]","noun",""
"actively maintained","[yor:actively] [yor:maintained]","noun",""
"activities","[Yoruba for: activities]","noun",""
"activities like","[yor:activities] Fẹ́ràn","noun",""
"activities like purchasing","[yor:activities] Fẹ́ràn [yor:purchasing]","noun",""
"activity","[Yoruba for: activity]","noun",""
"actually","[Yoruba for: actually]","noun",""
"actually appreciate","[yor:actually] [yor:appreciate]","noun",""
"actually appreciate use","[yor:actually] [yor:appreciate] Lò","noun",""
"actually viewing","[yor:actually] [yor:viewing]","noun",""
"actually viewing content","[yor:actually] [yor:viewing] Àkóónú","noun",""
"adams","[Yoruba for: adams]","noun",""
"add","Fi Kún","noun",""
"add alt","Fi Kún [yor:alt]","noun",""
"add alt text","Fi Kún [yor:alt] Ọ̀rọ̀","noun",""
"add audio","Fi Kún [yor:audio]","noun",""
"add audio playlist","Fi Kún [yor:audio] [yor:playlist]","noun",""
"add block","Fi Kún Àkójọpọ̀","noun",""
"add category","Fi Kún [yor:category]","noun",""
"add color","Fi Kún [yor:color]","noun",""
"add complex","Fi Kún [yor:complex]","noun",""
"add complex galleries","Fi Kún [yor:complex] [yor:galleries]","noun",""
"add cross-locale","Fi Kún [yor:cross-locale]","noun",""
"add cross-locale pte","Fi Kún [yor:cross-locale] [yor:pte]","noun",""
"add css","Fi Kún [yor:css]","noun",""
"add css customize","Fi Kún [yor:css] [yor:customize]","noun",""
"add custom","Fi Kún Àdáni","noun",""
"add custom code","Fi Kún Àdáni Kóòdù","noun",""
"add edit","Fi Kún Ṣàtúnṣe","noun",""
"add edit content","Fi Kún Ṣàtúnṣe Àkóónú","noun",""
"add gallery","Fi Kún [yor:gallery]","noun",""
"add image","Fi Kún Àwòrán","noun",""
"add image upload","Fi Kún Àwòrán [yor:upload]","noun",""
"add items","Fi Kún Àwọn nǹkan","noun",""
"add lines","Fi Kún [yor:lines]","noun",""
"add lines code","Fi Kún [yor:lines] Kóòdù","noun",""
"add link","Fi Kún [yor:link]","noun",""
"add media","Fi Kún [yor:media]","noun",""
"add menu","Fi Kún Àkójọ Àṣàyàn","noun",""
"add menu items","Fi Kún Àkójọ Àṣàyàn Àwọn nǹkan","noun",""
"add navigation","Fi Kún Ìtọ́sọ́nà","noun",""
"add navigation menu","Fi Kún Ìtọ́sọ́nà Àkójọ Àṣàyàn","noun",""
"add new","Fi Kún Tuntun","noun",""
"add new comments","Fi Kún Tuntun Àwọn àríwísí","noun",""
"add new page","Fi Kún Tuntun Ojúewé","noun",""
"add new support","Fi Kún Tuntun Ìtìlẹ́yìn","noun",""
"add new term","Fi Kún Tuntun [yor:term]","noun",""
"add page","Fi Kún Ojúewé","noun",""
"add pattern","Fi Kún Àpẹẹrẹ","noun",""
"add post","Fi Kún Àtẹ̀jáde","noun",""
"add remove","Fi Kún [yor:remove]","noun",""
"add required","Fi Kún [yor:required]","noun",""
"add shadow","Fi Kún [yor:shadow]","noun",""
"add submenu","Fi Kún [yor:submenu]","noun",""
"add template","Fi Kún Àdàkọ","noun",""
"add text","Fi Kún Ọ̀rọ̀","noun",""
"add text blocks","Fi Kún Ọ̀rọ̀ Àwọn àkójọpọ̀","noun",""
"add video","Fi Kún [yor:video]","noun",""
"add video playlist","Fi Kún [yor:video] [yor:playlist]","noun",""
"add website","Fi Kún [yor:website]","noun",""
"add website add","Fi Kún [yor:website] Fi Kún","noun",""
"add widget","Fi Kún Widget","noun",""
"Link","Ìlujá","noun",""
"Website","Ìkànnì","noun",""
"WordPress","WordPress","noun","Please use WordPress as WordPress's translation on any place it is mentioned"
